"Type","Exponential","Erlang(2)","Gamma","Weibull","Log-normal"
"Exhaustive",0.950666666666667,0.954166666666667,0.953666666666667,0.950666666666667,0.947166666666667
"Subsamples",0.819166666666667,0.820166666666667,0.820333333333333,0.822979291917168,0.81663610601767
