"code","distribution","ncuts","ncond","run","truemean","trueshape","truesdlog"
"exp_cut005_cond100_rep070","exponential",5,100,70,21.2121212121212,NA,NA
"exp_cut005_cond100_rep071","exponential",5,100,71,21.5050505050505,NA,NA
"exp_cut005_cond100_rep072","exponential",5,100,72,21.7979797979798,NA,NA
"exp_cut005_cond100_rep073","exponential",5,100,73,22.0909090909091,NA,NA
"exp_cut005_cond100_rep074","exponential",5,100,74,22.3838383838384,NA,NA
"exp_cut005_cond100_rep075","exponential",5,100,75,22.6767676767677,NA,NA
"exp_cut005_cond100_rep076","exponential",5,100,76,22.969696969697,NA,NA
"exp_cut005_cond100_rep077","exponential",5,100,77,23.2626262626263,NA,NA
"exp_cut005_cond100_rep078","exponential",5,100,78,23.5555555555556,NA,NA
"exp_cut005_cond100_rep079","exponential",5,100,79,23.8484848484848,NA,NA
"exp_cut005_cond100_rep080","exponential",5,100,80,24.1414141414141,NA,NA
"exp_cut005_cond100_rep081","exponential",5,100,81,24.4343434343434,NA,NA
"exp_cut005_cond100_rep082","exponential",5,100,82,24.7272727272727,NA,NA
"exp_cut005_cond100_rep083","exponential",5,100,83,25.020202020202,NA,NA
"exp_cut005_cond100_rep084","exponential",5,100,84,25.3131313131313,NA,NA
"exp_cut005_cond100_rep085","exponential",5,100,85,25.6060606060606,NA,NA
"exp_cut005_cond100_rep086","exponential",5,100,86,25.8989898989899,NA,NA
"exp_cut005_cond100_rep087","exponential",5,100,87,26.1919191919192,NA,NA
"exp_cut005_cond100_rep088","exponential",5,100,88,26.4848484848485,NA,NA
"exp_cut005_cond100_rep089","exponential",5,100,89,26.7777777777778,NA,NA
"exp_cut005_cond100_rep090","exponential",5,100,90,27.0707070707071,NA,NA
"exp_cut005_cond100_rep091","exponential",5,100,91,27.3636363636364,NA,NA
"exp_cut005_cond100_rep092","exponential",5,100,92,27.6565656565657,NA,NA
"exp_cut005_cond100_rep093","exponential",5,100,93,27.9494949494949,NA,NA
"exp_cut005_cond100_rep094","exponential",5,100,94,28.2424242424242,NA,NA
"exp_cut005_cond100_rep095","exponential",5,100,95,28.5353535353535,NA,NA
"exp_cut005_cond100_rep096","exponential",5,100,96,28.8282828282828,NA,NA
"exp_cut005_cond100_rep097","exponential",5,100,97,29.1212121212121,NA,NA
"exp_cut005_cond100_rep098","exponential",5,100,98,29.4141414141414,NA,NA
"exp_cut005_cond100_rep099","exponential",5,100,99,29.7070707070707,NA,NA
"exp_cut005_cond100_rep100","exponential",5,100,100,30,NA,NA
"exp_cut005_cond150_rep001","exponential",5,150,1,1,NA,NA
"exp_cut005_cond150_rep002","exponential",5,150,2,1.29292929292929,NA,NA
"exp_cut005_cond150_rep003","exponential",5,150,3,1.58585858585859,NA,NA
"exp_cut005_cond150_rep004","exponential",5,150,4,1.87878787878788,NA,NA
"exp_cut005_cond150_rep005","exponential",5,150,5,2.17171717171717,NA,NA
"exp_cut005_cond150_rep006","exponential",5,150,6,2.46464646464646,NA,NA
"exp_cut005_cond150_rep007","exponential",5,150,7,2.75757575757576,NA,NA
"exp_cut005_cond150_rep008","exponential",5,150,8,3.05050505050505,NA,NA
"exp_cut005_cond150_rep009","exponential",5,150,9,3.34343434343434,NA,NA
"exp_cut005_cond150_rep010","exponential",5,150,10,3.63636363636364,NA,NA
"exp_cut005_cond150_rep011","exponential",5,150,11,3.92929292929293,NA,NA
"exp_cut005_cond150_rep012","exponential",5,150,12,4.22222222222222,NA,NA
"exp_cut005_cond150_rep013","exponential",5,150,13,4.51515151515152,NA,NA
"exp_cut005_cond150_rep014","exponential",5,150,14,4.80808080808081,NA,NA
"exp_cut005_cond150_rep015","exponential",5,150,15,5.1010101010101,NA,NA
"exp_cut005_cond150_rep016","exponential",5,150,16,5.39393939393939,NA,NA
"exp_cut005_cond150_rep017","exponential",5,150,17,5.68686868686869,NA,NA
"exp_cut005_cond150_rep018","exponential",5,150,18,5.97979797979798,NA,NA
"exp_cut005_cond150_rep019","exponential",5,150,19,6.27272727272727,NA,NA
"exp_cut005_cond150_rep020","exponential",5,150,20,6.56565656565657,NA,NA
"exp_cut005_cond150_rep021","exponential",5,150,21,6.85858585858586,NA,NA
"exp_cut005_cond150_rep022","exponential",5,150,22,7.15151515151515,NA,NA
"exp_cut005_cond150_rep023","exponential",5,150,23,7.44444444444444,NA,NA
"exp_cut005_cond150_rep024","exponential",5,150,24,7.73737373737374,NA,NA
"exp_cut005_cond150_rep025","exponential",5,150,25,8.03030303030303,NA,NA
"exp_cut005_cond150_rep026","exponential",5,150,26,8.32323232323232,NA,NA
"exp_cut005_cond150_rep027","exponential",5,150,27,8.61616161616162,NA,NA
"exp_cut005_cond150_rep028","exponential",5,150,28,8.90909090909091,NA,NA
"exp_cut005_cond150_rep029","exponential",5,150,29,9.2020202020202,NA,NA
"exp_cut005_cond150_rep030","exponential",5,150,30,9.49494949494949,NA,NA
"exp_cut005_cond150_rep031","exponential",5,150,31,9.78787878787879,NA,NA
"exp_cut005_cond150_rep032","exponential",5,150,32,10.0808080808081,NA,NA
"exp_cut005_cond150_rep033","exponential",5,150,33,10.3737373737374,NA,NA
"exp_cut005_cond150_rep034","exponential",5,150,34,10.6666666666667,NA,NA
"exp_cut005_cond150_rep035","exponential",5,150,35,10.959595959596,NA,NA
"exp_cut005_cond150_rep036","exponential",5,150,36,11.2525252525253,NA,NA
"exp_cut005_cond150_rep037","exponential",5,150,37,11.5454545454545,NA,NA
"exp_cut005_cond150_rep038","exponential",5,150,38,11.8383838383838,NA,NA
"exp_cut005_cond150_rep039","exponential",5,150,39,12.1313131313131,NA,NA
"exp_cut005_cond150_rep040","exponential",5,150,40,12.4242424242424,NA,NA
"exp_cut005_cond150_rep041","exponential",5,150,41,12.7171717171717,NA,NA
"exp_cut005_cond150_rep042","exponential",5,150,42,13.010101010101,NA,NA
"exp_cut005_cond150_rep043","exponential",5,150,43,13.3030303030303,NA,NA
"exp_cut005_cond150_rep044","exponential",5,150,44,13.5959595959596,NA,NA
"exp_cut005_cond150_rep045","exponential",5,150,45,13.8888888888889,NA,NA
"exp_cut005_cond150_rep046","exponential",5,150,46,14.1818181818182,NA,NA
"exp_cut005_cond150_rep047","exponential",5,150,47,14.4747474747475,NA,NA
"exp_cut005_cond150_rep048","exponential",5,150,48,14.7676767676768,NA,NA
"exp_cut005_cond150_rep049","exponential",5,150,49,15.0606060606061,NA,NA
"exp_cut005_cond150_rep050","exponential",5,150,50,15.3535353535354,NA,NA
"exp_cut005_cond150_rep051","exponential",5,150,51,15.6464646464646,NA,NA
